,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,BuiltInChildSeat,Roll_Stability,SafetyPowerWindows,WheelsDriven
0,11,Heavy Passenger Car,3546.0,N/A,N/A,1.37,FWD,P215/60R16,O,O,O,S,A,SF/SR,A,S,S,STS1,SC2,False,S,A,A,A,Sv,FWD
1,12,Compact Passenger Car,2562.0,N/A,N/A,1.44,FWD,P175/65R15,O,S,S,A,A,SF,S,A,S,STS1,SS2,False,S,O,A,A,Se,FWD
2,14,Medium Passenger Car,3135.0,N/A,N/A,1.51,FWD,225/45R17,S,S,S,A,A,SF,A,A,A,SBS1,SB1,False,A,A,A,A,Sv,FWD/AWD
3,15,Heavy Passenger Car,3627.0,N/A,N/A,1.4,RWD,P225/50R17,O,A,S,A,S,SF,SF,S,S,STS1,SC2,False,S,A,A,A,N/A,RWD
4,16,Medium Passenger Car,3038.0,N/A,N/A,1.42,FWD,P215/60R16,S,A,S,S,A,SF,A,S,A,STS1,SC2,False,S,A,A,A,Svx,FWD
5,19,Medium Passenger Car,3403.0,N/A,N/A,1.41,FWD,P205/65R15,A,O,O,S,A,SF,A,S,S,SBS1,SB1,False,S,A,A,A,Se,FWD
6,20,Compact Passenger Car,2824.0,N/A,N/A,1.41,FWD,P205/55R16,A,A,O,S,S,SF,SF,S,S,N/A,OC2,False,S,A,A,A,Se,FWD
7,22,Medium Passenger Car,3410.0,N/A,N/A,1.43,FWD,P215/60R16,A,A,O,S,A,SF,S,S,A,OBS1,OB1,False,A,A,A,A,N/A,FWD
8,23,Medium Passenger Car,3410.0,N/A,N/A,1.43,FWD,P215/60R16,A,A,O,S,A,SF,S,S,A,OBS1,OB1,False,A,A,A,A,N/A,FWD
9,24,Pickup,4044.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,S,SF,SF,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
10,25,Pickup,5280.0,N/A,N/A,1.25,RWD,P235/75R16,A,A,O,A,S,A,SF,A,S,N/A,N/A,False,S,A,A,A,Se,RWD/4WD
11,26,Pickup,4574.0,N/A,N/A,1.25,RWD,P235/75R16,A,A,O,A,A,A,SF,A,S,N/A,N/A,False,A,A,A,A,Se,RWD/4WD
12,27,Compact Passenger Car,2716.0,N/A,N/A,1.38,FWD,P195/60R15,A,A,O,S,A,SF,S,A,S,N/A,OC2,False,A,A,A,A,N/A,FWD
13,28,Compact Passenger Car,2716.0,N/A,N/A,1.38,FWD,P205/55R16,A,A,O,S,A,SF,S,S,S,N/A,OC2,False,A,A,A,A,N/A,FWD
14,29,Van,4342.0,N/A,N/A,1.17,FWD,P225/60R17,O,A,O,S,S,SF,SF,S,S,OBS2,OB2,False,S,A,A,A,Se,FWD/AWD
15,30,Sport Utility Vehicle,5030.0,N/A,N/A,1.14,RWD,P245/65R17,S,A,O,A,S,SF,S,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/4WD
16,31,Pickup,4044.0,N/A,N/A,1.2,2WD,P205/75R15,A,A,O,S,S,SF,S,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/AWD
17,32,Medium Passenger Car,3012.0,N/A,N/A,1.41,FWD,P205/55R16,O,O,O,S,A,SF,A,A,A,OBS1,OB1,False,A,A,A,A,Sv,FWD
18,33,Sport Utility Vehicle,4150.0,N/A,N/A,1.17,RWD,P235/65R17,S,A,S,S,A,SF,S,S,S,N/A,OC2,False,S,A,A,A,Se,RWD/4WD
19,34,Sport Utility Vehicle,4153.0,N/A,N/A,1.12,RWD,P215/75R16,S,A,O,S,A,SF,S,S,S,N/A,OC2,False,S,A,A,A,N/A,RWD
20,36,Sport Utility Vehicle,4396.0,N/A,N/A,1.15,RWD,P265/70R16,S,S,S,S,A,SF,S,S,S,OTS1,OC2,False,S,A,A,A,Sv,RWD/AWD
21,37,Medium Passenger Car,3234.0,N/A,N/A,1.38,FWD,P215/55R17,O,O,O,A,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
22,40,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,S,S,A,S,A,SF,A,A,S,N/A,SC2,False,A,A,A,A,Se,RWD/AWD
23,41,Pickup,3684.0,N/A,N/A,1.2,RWD,P205/75R15,S,S,A,S,A,SF,A,A,S,N/A,SC1,False,A,A,A,A,Se,RWD/AWD
24,42,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,S,S,A,S,A,SF,A,A,S,N/A,SC2,False,A,A,A,A,Se,RWD/AWD
25,43,Pickup,3684.0,N/A,N/A,1.2,2WD,P205/75R15,S,S,A,S,A,SF,A,A,S,N/A,SC1,False,A,A,A,A,Se,RWD/AWD
26,44,Sport Utility Vehicle,4708.0,N/A,N/A,1.13,RWD,P245/75R16,S,A,S,S,S,SF,A,S,S,OTS1/OBS1,OC2/OB1,False,S,S,A,A,Se,RWD/AWD
27,45,Heavy Passenger Car,3731.0,N/A,N/A,1.45,RWD,225/55R16,S,S,S,S,S,SF/SR,A,S,S,STS1/STD2,SC2,False,S,S,A,A,Sv,RWD/AWD
28,46,Heavy Passenger Car,4157.0,N/A,N/A,1.51,RWD,P225/60R16,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,A,A,A,A,N/A,RWD
29,47,Light Passenger Car,2454.0,N/A,N/A,1.2,FWD,P185/60R15,S,S,S,S,A,SF,S,S,A,N/A,N/A,False,S,A,A,A,Se,FWD
30,49,Pickup,3606.0,N/A,N/A,1.28,RWD,P215/70R15,O,O,O,S,A,SF,S,S,S,OTS1,OC2,False,S,A,A,A,Se,RWD/AWD
31,50,Sport Utility Vehicle,4258.0,N/A,N/A,1.11,RWD,P265/70R17,S,S,S,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,RWD/AWD
32,53,Medium Passenger Car,3052.0,N/A,N/A,1.26,FWD,P205/70R15,O,O,O,S,A,SF,A,S,S,OTS1,SC2,False,S,A,A,A,Se,FWD/AWD
33,55,Heavy Passenger Car,3662.0,N/A,N/A,1.51,RWD,P215/60R16,O,S,S,S,A,SF,A,S,A,SBS1/OTS1,SB1/OC2,False,S,A,A,O,N/A,RWD
34,58,Compact Passenger Car,2522.0,N/A,N/A,1.35,FWD,P195/55R15,A,A,A,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD
35,59,Heavy Passenger Car,3843.0,N/A,N/A,1.42,FWD,P235/55R17,S,A,S,S,A,SF,A,S,S,STS2,SC2,False,S,SF,A,A,SnSe,FWD
36,60,Compact Passenger Car,2550.0,N/A,N/A,1.37,FWD,P185/65R14,O,O,S,S,A,SF,O,S,A,STS1,SC2,False,S,O,A,A,Ae,FWD
37,63,Compact Passenger Car,2829.0,N/A,N/A,1.43,FWD,P205/50R17,A,O,A,S,A,SF,A,S,S,OTS1,OC2,False,S,A,A,A,Se,FWD
38,64,Medium Passenger Car,3077.0,N/A,N/A,1.44,FWD,P205/60R16,O,A,O,A,A,SF,S,S,S,STS1,SC2,False,S,A,A,A,Svx,FWD
39,65,Medium Passenger Car,3038.0,N/A,N/A,1.42,FWD,P205/60R16,O,A,O,S,A,SF,S,S,S,STS1,SC2,False,S,A,A,A,Svx,FWD
40,69,Sport Utility Vehicle,3364.0,N/A,N/A,1.18,FWD,P215/65R16,S,S,S,S,A,SF,A,S,S,STS1,SC2,False,S,A,A,A,Se,FWD/AWD
41,70,Heavy Passenger Car,4157.0,N/A,N/A,1.51,RWD,P225/60R16,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,A,A,A,A,N/A,RWD
42,71,Heavy Passenger Car,4157.0,N/A,N/A,1.51,RWD,P225/60R16,A,A,O,S,A,SF,A,S,S,OBS1,OB1,False,A,A,A,A,N/A,RWD
43,72,Compact Passenger Car,2706.0,N/A,N/A,1.33,FWD,P195/60R15,A,A,O,S,A,SF,S,A,A,OBS1,OB1,False,A,A,A,A,N/A,FWD
