,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,Roll_Stability,SafetyPowerWindows,WheelsDriven,DrStar_Num,PaStar_Num,DrSSTar_Num,PaSStar_Num
0,11,Heavy Passenger Car,3546.0,False,False,1.37,FWD,26.15748031496063,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,4,3
1,15,Heavy Passenger Car,3627.0,False,False,1.4,RWD,25.858267716535433,False,False,True,False,True,False,False,True,True,True,True,False,True,False,False,False,RWD,3,3,3,4
2,16,Medium Passenger Car,3038.0,False,False,1.42,FWD,26.15748031496063,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,FWD,4,4,3,3
3,19,Medium Passenger Car,3403.0,False,False,1.41,FWD,25.49212598425197,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,2,3,3,2
4,20,Compact Passenger Car,2824.0,False,False,1.41,FWD,24.87795275590551,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD,3,4,3,3
5,22,Medium Passenger Car,3410.0,False,False,1.43,FWD,26.15748031496063,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,FWD,3,4,2,2
6,23,Medium Passenger Car,3410.0,False,False,1.43,FWD,26.15748031496063,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,FWD,3,4,2,2
7,24,Pickup,4044.0,False,False,1.2,2WD,27.106299212598426,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,RWD/AWD,4,4,3,4
8,27,Compact Passenger Car,2716.0,False,False,1.38,FWD,24.212598425196852,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,FWD,4,4,3,3
9,28,Compact Passenger Car,2716.0,False,False,1.38,FWD,24.87795275590551,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,FWD,4,4,2,3
10,29,Van,4342.0,False,False,1.17,FWD,27.62992125984252,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,3,4
11,31,Pickup,4044.0,False,False,1.2,2WD,27.106299212598426,False,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,RWD/AWD,4,4,3,4
12,33,Sport Utility Vehicle,4150.0,False,False,1.17,RWD,29.02755905511811,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,False,RWD/4WD,4,4,4,4
13,34,Sport Utility Vehicle,4153.0,False,False,1.12,RWD,28.69685039370079,True,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,RWD,4,3,4,4
14,36,Sport Utility Vehicle,4396.0,False,False,1.15,RWD,30.606299212598426,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,False,RWD/AWD,3,3,4,4
15,44,Sport Utility Vehicle,4708.0,False,False,1.13,RWD,30.468503937007874,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,False,RWD/AWD,3,3,4,4
16,46,Heavy Passenger Car,4157.0,False,False,1.51,RWD,26.62992125984252,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,RWD,4,4,3,4
17,47,Light Passenger Car,2454.0,False,False,1.2,FWD,23.740157480314963,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,False,FWD,3,3,2,3
18,49,Pickup,3606.0,False,False,1.28,RWD,26.8503937007874,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,RWD/AWD,4,4,4,4
19,50,Sport Utility Vehicle,4258.0,False,False,1.11,RWD,31.606299212598426,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False,RWD/AWD,4,3,4,4
20,53,Medium Passenger Car,3052.0,False,False,1.26,FWD,26.299212598425196,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,4,4
21,55,Heavy Passenger Car,3662.0,False,False,1.51,RWD,26.15748031496063,False,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,RWD,4,3,3,4
22,58,Compact Passenger Car,2522.0,False,False,1.35,FWD,23.44488188976378,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,3,2
23,59,Heavy Passenger Car,3843.0,False,False,1.42,FWD,27.17716535433071,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,3,3,4,3
24,60,Compact Passenger Car,2550.0,False,False,1.37,FWD,23.468503937007874,False,False,True,True,False,False,False,True,False,True,True,False,True,False,False,False,FWD,3,4,2,2
25,63,Compact Passenger Car,2829.0,False,False,1.43,FWD,25.07086614173228,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,3,3,2,2
26,64,Medium Passenger Car,3077.0,False,False,1.44,FWD,25.68503937007874,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,FWD,4,4,3,4
27,65,Medium Passenger Car,3038.0,False,False,1.42,FWD,25.68503937007874,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,FWD,4,4,3,3
28,69,Sport Utility Vehicle,3364.0,False,False,1.18,FWD,27.003937007874015,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,4,4
29,70,Heavy Passenger Car,4157.0,False,False,1.51,RWD,26.62992125984252,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,RWD,4,4,3,4
30,71,Heavy Passenger Car,4157.0,False,False,1.51,RWD,26.62992125984252,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,RWD,4,4,4,4
31,72,Compact Passenger Car,2706.0,False,False,1.33,FWD,24.212598425196852,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,FWD,4,3,2,3
32,73,Compact Passenger Car,2630.0,False,False,1.3,FWD,24.07086614173228,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,FWD,3,3,2,3
33,76,Heavy Passenger Car,3725.0,False,False,1.43,FWD,27.15748031496063,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,4,4
